State&County,Total_Population,Levels_Smokers,Surface_Mines,Underground_Mines,Levels_COPD
"Liberty, Florida","8,354",25.6,0.0,0.0,10.7
"DeKalb, Georgia","759,297",14.7,0.0,0.0,5.7
"Madison, Idaho","39,907",16.3,0.0,0.0,7.2
"Lafayette, Florida","8,422",25.6,0.0,0.0,10.3
"Lincoln, Idaho","5,366",18.3,0.0,0.0,6.7
"Indian River, Florida","159,923",18.1,0.0,0.0,7.4
"Douglas, Georgia","146,343",18.5,0.0,0.0,6.5
"Suwannee, Florida","44,417",23.1,0.0,0.0,9.4
"Rio Blanco, Colorado","6,324",17.3,0.0,0.0,5.7
"Gwinnett, Georgia","936,250",14.9,0.0,0.0,5.5
"Muscogee, Georgia","195,769",20.7,0.0,0.0,7.4
"Bingham, Idaho","46,811",16.2,0.0,0.0,5.9
"Lowndes, Georgia","117,406",20.3,0.0,0.0,8.0
"Ben Hill, Georgia","16,700",24.3,0.0,0.0,9.4
"Fremont, Idaho","13,099",17.3,0.0,0.0,6.2
"Sussex, Delaware","234,225",17.5,0.0,0.0,7.3
"Candler, Georgia","10,803",25.6,0.0,0.0,10.2
"Kauai, Hawaii","72,293",14.7,0.0,0.0,4.3
"Wayne, Georgia","29,927",24.2,0.0,0.0,9.0
"Fayette, Georgia","114,421",13.8,0.0,0.0,4.9
"Glades, Florida","13,811",24.2,0.0,0.0,9.7
"Franklin, Florida","12,125",25.0,0.0,0.0,10.0
"Rabun, Georgia","17,137",21.5,0.0,0.0,8.4
"Madison, Georgia","29,880",21.8,0.0,0.0,8.4
"Nez Perce, Idaho","40,408",17.5,0.0,0.0,6.2
"Lanier, Georgia","10,423",23.6,0.0,0.0,9.0
"Volusia, Florida","553,284",20.8,0.0,0.0,7.7
"Dade, Georgia","16,116",22.9,0.0,0.0,8.5
"Laurens, Georgia","47,546",23.9,0.0,0.0,9.1
"Collier, Florida","384,902",15.6,0.0,0.0,6.4
"Lee, Georgia","29,992",18.7,0.0,0.0,6.7
"Gilchrist, Florida","18,582",25.0,0.0,0.0,10.7
"Coweta, Georgia","148,509",17.5,0.0,0.0,6.3
"McIntosh, Georgia","14,378",21.9,0.0,0.0,7.9
"Baker, Georgia","3,038",22.7,0.0,0.0,8.3
"Toombs, Georgia","26,830",23.2,0.0,0.0,9.2
"Worth, Georgia","20,247",23.6,0.0,0.0,8.8
"Pueblo, Colorado","168,424",17.9,0.0,0.0,5.2
"Houston, Georgia","157,863",17.9,0.0,0.0,6.6
"Gilmer, Georgia","31,369",21.2,0.0,0.0,8.2
"Holmes, Florida","19,617",26.8,0.0,0.0,11.6
"Murray, Georgia","40,096",23.3,0.0,0.0,8.9
"Lemhi, Idaho","8,027",18.4,0.0,0.0,6.6
"Wakulla, Florida","33,739",20.9,0.0,0.0,8.3
"Lamar, Georgia","19,077",22.0,0.0,0.0,7.9
"Washington, Colorado","4,908",18.2,0.0,0.0,6.0
"Bryan, Georgia","39,627",16.7,0.0,0.0,6.2
"Hernando, Florida","193,920",20.9,0.0,0.0,8.3
"Tolland, Connecticut","150,721",13.6,0.0,0.0,4.9
"Randolph, Georgia","6,778",28.0,0.0,0.0,11.1
"Colquitt, Georgia","45,600",23.3,0.0,0.0,9.4
"Warren, Georgia","5,254",26.0,0.0,0.0,9.9
"Upson, Georgia","26,320",24.4,0.0,0.0,9.0
"Towns, Georgia","12,037",19.9,0.0,0.0,7.5
"Citrus, Florida","149,657",23.3,0.0,0.0,9.2
"New Castle, Delaware","558,753",15.4,0.0,0.0,6.2
"Webster, Georgia","2,607",22.8,0.0,0.0,8.4
"Owyhee, Idaho","11,823",18.7,0.0,0.0,6.8
"Brantley, Georgia","19,109",27.4,0.0,0.0,10.5
"Lewis, Idaho","3,838",20.5,0.0,0.0,7.4
"Kootenai, Idaho","165,697",17.4,0.0,0.0,5.8
"Sumter, Florida","132,420",17.2,0.0,0.0,6.7
"Miami-Dade, Florida","2,716,940",13.6,0.0,0.0,5.4
"Jackson, Florida","46,414",25.5,0.0,0.0,10.3
"Heard, Georgia","11,923",24.2,0.0,0.0,8.9
"Minidoka, Idaho","21,039",16.9,0.0,0.0,6.1
"Idaho, Idaho","16,667",19.5,0.0,0.0,7.3
"Lee, Florida","770,577",17.2,0.0,0.0,6.9
"Hardee, Florida","26,937",22.5,0.0,0.0,10.0
"Calhoun, Florida","14,105",25.0,0.0,0.0,10.0
"Coffee, Georgia","43,273",24.6,0.0,0.0,9.3
"Schley, Georgia","5,257",21.8,0.0,0.0,8.1
"Quitman, Georgia","2,299",26.6,0.0,0.0,10.2
"Chattooga, Georgia","24,789",27.3,0.0,0.0,10.4
"Jefferson, Georgia","15,362",25.7,0.0,0.0,9.7
"Kent, Delaware","180,786",18.9,0.0,0.0,7.8
"Wilkes, Georgia","9,777",24.0,0.0,0.0,9.0
"Gooding, Idaho","15,179",17.4,0.0,0.0,6.2
"Evans, Georgia","10,654",24.6,0.0,0.0,9.7
"Cobb, Georgia","760,141",14.0,0.0,0.0,5.1
"Greene, Georgia","18,324",20.7,0.0,0.0,7.8
"Screven, Georgia","13,966",24.8,0.0,0.0,8.9
"Dougherty, Georgia","87,956",23.3,0.0,0.0,8.7
"Union, Florida","15,237",27.0,0.0,0.0,10.2
"Miller, Georgia","5,718",23.7,0.0,0.0,9.0
"Blaine, Idaho","23,021",13.6,0.0,0.0,4.9
"Columbia, Georgia","156,714",15.9,0.0,0.0,5.5
"Appling, Georgia","18,386",25.3,0.0,0.0,9.9
"Oglethorpe, Georgia","15,259",22.5,0.0,0.0,8.4
"Henry, Georgia","234,561",16.7,0.0,0.0,5.9
"Latah, Idaho","40,108",15.1,0.0,0.0,5.6
"Taylor, Florida","21,569",27.6,0.0,0.0,10.6
"Whitfield, Georgia","104,628",20.6,0.0,0.0,7.8
"Teller, Colorado","25,388",14.4,0.0,0.0,4.7
"Charlton, Georgia","13,392",26.8,0.0,0.0,10.4
"Stewart, Georgia","6,621",24.4,0.0,0.0,9.7
"Clay, Florida","219,252",19.7,0.0,0.0,7.4
"Crawford, Georgia","12,404",24.0,0.0,0.0,8.9
"Dodge, Georgia","20,605",24.8,0.0,0.0,9.2
"Wilkinson, Georgia","8,954",24.4,0.0,0.0,9.1
"Atkinson, Georgia","8,165",25.5,0.0,0.0,10.3
"Clarke, Georgia","128,331",18.8,0.0,0.0,7.5
"Brooks, Georgia","15,457",22.5,0.0,0.0,8.6
"Yuma, Colorado","10,019",16.9,0.0,0.0,5.8
"Okeechobee, Florida","42,168",23.5,0.0,0.0,9.7
"Bear Lake, Idaho","6,125",17.5,0.0,0.0,6.4
"Camas, Idaho","1,106",19.0,0.0,0.0,6.7
"Hillsborough, Florida","1,471,968",16.1,0.0,0.0,6.4
"Madison, Florida","18,493",24.2,0.0,0.0,10.3
"Jasper, Georgia","14,219",23.3,0.0,0.0,8.8
"Stephens, Georgia","25,925",21.5,0.0,0.0,8.0
"Walker, Georgia","69,761",23.4,0.0,0.0,8.7
"Pickens, Georgia","32,591",20.0,0.0,0.0,7.4
"Hawaii, Hawaii","201,513",17.6,0.0,0.0,5.1
"Kalawao, Hawaii",86,14.9,0.0,0.0,5.1
"Taliaferro, Georgia","1,537",25.7,0.0,0.0,9.1
"Seminole, Florida","471,826",13.5,0.0,0.0,5.9
"Flagler, Florida","115,081",20.7,0.0,0.0,7.5
"Pierce, Georgia","19,465",24.1,0.0,0.0,9.3
"St. Lucie, Florida","328,297",18.1,0.0,0.0,7.5
"Sedgwick, Colorado","2,248",18.9,0.0,0.0,6.5
"Catoosa, Georgia","67,580",20.0,0.0,0.0,7.3
"Elbert, Georgia","19,194",24.5,0.0,0.0,9.4
"Pike, Georgia","18,962",20.6,0.0,0.0,7.1
"Santa Rosa, Florida","184,313",19.4,0.0,0.0,7.4
"Levy, Florida","41,503",24.6,0.0,0.0,10.2
"Oneida, Idaho","4,531",17.4,0.0,0.0,6.1
"Johnson, Georgia","9,643",27.0,0.0,0.0,9.8
"Cherokee, Georgia","258,773",15.0,0.0,0.0,5.5
"Newton, Georgia","111,744",20.5,0.0,0.0,7.3
"Tift, Georgia","40,644",22.8,0.0,0.0,8.4
"Jeff Davis, Georgia","15,115",26.8,0.0,0.0,10.6
"Jenkins, Georgia","8,676",27.6,0.0,0.0,10.9
"Maui, Hawaii","167,417",15.5,0.0,0.0,4.4
"Gem, Idaho","18,112",18.2,0.0,0.0,6.5
"Hendry, Florida","42,022",21.5,0.0,0.0,9.0
"Irwin, Georgia","9,416",24.9,0.0,0.0,9.5
"Summit, Colorado","31,011",12.5,0.0,0.0,4.3
"Rio Grande, Colorado","11,267",15.6,0.0,0.0,5.2
"Broward, Florida","1,952,778",14.9,0.0,0.0,6.0
"Palm Beach, Florida","1,496,770",14.9,0.0,0.0,6.3
"Cherokee, Iowa","11,235",17.9,0.0,0.0,5.8
"Clark, Illinois","15,441",20.2,0.0,0.0,7.2
"Allen, Indiana","379,299",19.5,0.0,0.0,7.3
"Plymouth, Iowa","25,177",16.5,0.0,0.0,5.4
"Hancock, Iowa","10,630",17.8,0.0,0.0,5.6
"Tippecanoe, Indiana","195,732",17.7,0.0,0.0,7.2
"Mills, Iowa","15,109",18.1,0.0,0.0,5.5
"Jasper, Iowa","37,185",18.6,0.0,0.0,5.8
"Tipton, Indiana","15,148",20.5,0.0,0.0,7.5
"Ford, Illinois","12,961",19.9,0.0,0.0,7.2
"Gallatin, Illinois","4,828",23.7,0.0,0.0,8.9
"Grant, Indiana","65,769",23.2,0.0,0.0,8.9
"Jackson, Illinois","56,750",19.9,0.0,0.0,7.6
"Stephenson, Illinois","44,498",19.4,0.0,0.0,7.1
"Monroe, Indiana","148,431",18.7,0.0,0.0,7.5
"Tama, Iowa","16,854",18.8,0.0,0.0,6.1
"St. Clair, Illinois","259,686",18.4,0.0,0.0,6.5
"Wayne, Iowa","6,441",22.1,0.0,0.0,7.4
"Marion, Indiana","964,582",18.7,0.0,0.0,7.4
"LaPorte, Indiana","109,888",24.8,0.0,0.0,8.7
"Audubon, Iowa","5,496",19.5,0.0,0.0,6.2
"Taylor, Iowa","6,121",20.1,0.0,0.0,6.4
"Kane, Illinois","532,403",14.9,0.0,0.0,5.2
"Spencer, Indiana","20,277",22.2,0.0,0.0,8.0
"Sac, Iowa","9,721",18.5,0.0,0.0,5.7
"Ogle, Illinois","50,643",18.1,0.0,0.0,6.4
"Marshall, Indiana","46,258",21.9,0.0,0.0,8.3
"LaGrange, Indiana","39,614",25.2,0.0,0.0,9.9
"Carroll, Indiana","20,257",21.3,0.0,0.0,8.0
"Howard, Iowa","9,158",19.0,0.0,0.0,6.0
"Hancock, Indiana","78,168",17.8,0.0,0.0,6.7
"Calhoun, Illinois","4,739",20.5,0.0,0.0,7.1
"Twin Falls, Idaho","86,878",16.6,0.0,0.0,6.1
"Poweshiek, Iowa","18,504",18.0,0.0,0.0,5.7
"Saline, Illinois","23,491",22.4,0.0,0.0,8.5
"Whitley, Indiana","33,964",20.8,0.0,0.0,7.5
"Cook, Illinois","5,150,233",14.6,0.0,0.0,5.2
"Putnam, Illinois","5,739",18.2,0.0,0.0,6.2
"Greene, Iowa","8,888",19.7,0.0,0.0,6.0
"Vermillion, Indiana","15,498",23.7,0.0,0.0,8.7
"Winnebago, Illinois","282,572",18.3,0.0,0.0,6.8
"Madison, Indiana","129,569",24.4,0.0,0.0,9.0
"Harrison, Indiana","40,515",22.4,0.0,0.0,8.0
"Posey, Indiana","25,427",20.5,0.0,0.0,7.2
"Clinton, Indiana","32,399",21.1,0.0,0.0,8.2
"Vanderburgh, Indiana","181,451",21.9,0.0,0.0,8.1
"Dubois, Indiana","42,736",19.5,0.0,0.0,7.2
"Shelby, Iowa","11,454",18.4,0.0,0.0,5.6
"McLean, Illinois","171,517",15.9,0.0,0.0,5.8
"Dickinson, Iowa","17,258",16.5,0.0,0.0,5.2
"Henry, Iowa","19,954",19.1,0.0,0.0,5.9
"Fayette, Illinois","21,336",23.1,0.0,0.0,8.5
"Cass, Indiana","37,689",22.6,0.0,0.0,8.6
"O'Brien, Iowa","13,753",19.4,0.0,0.0,6.0
"Guthrie, Iowa","10,689",18.4,0.0,0.0,5.8
"Ringgold, Iowa","4,894",19.1,0.0,0.0,6.1
"Marshall, Iowa","39,369",17.6,0.0,0.0,5.8
"Switzerland, Indiana","10,751",26.1,0.0,0.0,10.1
"Moultrie, Illinois","14,501",20.4,0.0,0.0,7.1
"Pulaski, Illinois","5,335",23.7,0.0,0.0,8.8
"Vermilion, Illinois","75,758",21.7,0.0,0.0,7.9
"Knox, Illinois","49,699",20.8,0.0,0.0,7.7
"Jo Daviess, Illinois","21,235",18.2,0.0,0.0,6.4
"Douglas, Illinois","19,465",20.7,0.0,0.0,7.4
"Page, Iowa","15,107",19.8,0.0,0.0,6.0
"Decatur, Iowa","7,870",20.2,0.0,0.0,6.8
"Kosciusko, Indiana","79,456",19.6,0.0,0.0,7.6
"Greene, Illinois","12,969",21.8,0.0,0.0,7.5
"Louisa, Iowa","11,035",18.5,0.0,0.0,5.8
"Wayne, Illinois","16,215",21.5,0.0,0.0,7.7
"Linn, Iowa","226,706",15.7,0.0,0.0,5.2
"Washington, Indiana","28,036",24.0,0.0,0.0,8.9
"Miami, Indiana","35,516",23.8,0.0,0.0,9.0
"White, Illinois","13,537",21.5,0.0,0.0,7.8
"Butler, Iowa","14,439",18.4,0.0,0.0,5.9
"Randolph, Illinois","31,782",21.7,0.0,0.0,7.7
"Osceola, Iowa","5,958",18.6,0.0,0.0,6.0
"Alexander, Illinois","5,761",23.5,0.0,0.0,8.6
"Clay, Indiana","26,225",23.1,0.0,0.0,8.4
"Harrison, Iowa","14,049",18.5,0.0,0.0,6.0
"Menard, Illinois","12,196",18.0,0.0,0.0,6.3
"Parke, Indiana","16,937",24.1,0.0,0.0,9.1
"Gibson, Indiana","33,659",21.6,0.0,0.0,7.8
"McHenry, Illinois","307,774",15.0,0.0,0.0,5.1
"Henderson, Illinois","6,646",19.4,0.0,0.0,6.7
"Bond, Illinois","16,426",19.5,0.0,0.0,7.1
"Fayette, Iowa","19,650",19.4,0.0,0.0,6.2
"DuPage, Illinois","922,921",11.2,0.0,0.0,4.3
"Hancock, Illinois","17,708",19.7,0.0,0.0,7.1
"Union, Indiana","7,054",22.9,0.0,0.0,8.4
"Marion, Iowa","33,253",16.5,0.0,0.0,5.3
"Greene, Indiana","31,922",23.1,0.0,0.0,8.7
"Benton, Iowa","25,645",17.9,0.0,0.0,5.5
"Macon, Illinois","104,009",20.5,0.0,0.0,7.2
"Effingham, Illinois","34,008",19.0,0.0,0.0,6.6
"White, Indiana","24,102",21.4,0.0,0.0,7.9
"Lawrence, Indiana","45,370",23.1,0.0,0.0,8.5
"Muscatine, Iowa","42,664",17.0,0.0,0.0,5.5
"Johnson, Indiana","158,167",18.7,0.0,0.0,6.7
"Davis, Iowa","9,000",21.3,0.0,0.0,6.6
"Crawford, Indiana","10,577",26.9,0.0,0.0,10.4
"Ohio, Indiana","5,875",22.2,0.0,0.0,7.7
"Chickasaw, Iowa","11,933",19.2,0.0,0.0,5.8
"Pocahontas, Iowa","6,619",20.6,0.0,0.0,6.2
"Jay, Indiana","20,436",24.8,0.0,0.0,9.2
"Teton, Idaho","12,142",13.3,0.0,0.0,4.5
"Brown, Indiana","15,092",19.9,0.0,0.0,7.4
"Williamson, Illinois","66,597",19.4,0.0,0.0,7.0
"Scott, Illinois","4,951",20.7,0.0,0.0,7.3
"Piatt, Illinois","16,344",17.1,0.0,0.0,5.8
"Fremont, Iowa","6,960",19.2,0.0,0.0,6.2
"Morgan, Illinois","33,658",20.7,0.0,0.0,7.4
"Calhoun, Iowa","9,668",19.7,0.0,0.0,6.1
"Edwards, Illinois","6,395",20.2,0.0,0.0,7.1
"Blackford, Indiana","11,758",24.8,0.0,0.0,9.2
"Pike, Illinois","15,561",21.7,0.0,0.0,7.9
"Crawford, Illinois","18,667",20.4,0.0,0.0,7.3
"Mahaska, Iowa","22,095",19.4,0.0,0.0,6.4
"Montgomery, Illinois","28,414",21.3,0.0,0.0,7.7
"Jefferson, Indiana","32,308",22.5,0.0,0.0,8.4
"Adair, Iowa","7,152",19.5,0.0,0.0,6.0
"Franklin, Illinois","38,469",22.6,0.0,0.0,8.5
"Dubuque, Iowa","97,311",16.4,0.0,0.0,5.3
"Kankakee, Illinois","109,862",18.6,0.0,0.0,6.8
"Boone, Indiana","67,843",15.7,0.0,0.0,5.6
"Elkhart, Indiana","206,341",19.8,0.0,0.0,7.8
"Lawrence, Illinois","15,678",21.7,0.0,0.0,8.0
"Pottawattamie, Iowa","93,206",20.9,0.0,0.0,6.0
"Valley, Idaho","11,392",15.0,0.0,0.0,5.2
"Orange, Indiana","19,646",25.3,0.0,0.0,9.6
"Wabash, Indiana","30,996",23.5,0.0,0.0,8.4
"Wells, Indiana","28,296",21.0,0.0,0.0,7.6
"Jennings, Indiana","27,735",23.4,0.0,0.0,8.7
"Rush, Indiana","16,581",24.0,0.0,0.0,8.8
"DeKalb, Indiana","43,475",21.8,0.0,0.0,7.8
"Dallas, Iowa","93,453",12.8,0.0,0.0,4.0
"Martin, Indiana","10,255",23.3,0.0,0.0,8.4
"Hamilton, Indiana","338,011",12.5,0.0,0.0,4.7
"Shelby, Illinois","21,634",20.8,0.0,0.0,7.2
"Clayton, Iowa","17,549",20.6,0.0,0.0,6.5
"Emmet, Iowa","9,208",18.3,0.0,0.0,6.0
"Shoshone, Idaho","12,882",22.6,0.0,0.0,8.0
"Vigo, Indiana","107,038",23.0,0.0,0.0,8.6
"Henry, Illinois","48,913",18.4,0.0,0.0,6.5
"Massac, Illinois","13,772",21.8,0.0,0.0,7.9
"Champaign, Illinois","209,689",16.0,0.0,0.0,6.1
"Mitchell, Iowa","10,586",18.9,0.0,0.0,6.0
"Henry, Indiana","47,972",23.9,0.0,0.0,8.8
"Appanoose, Iowa","12,426",21.2,0.0,0.0,7.0
"McDonough, Illinois","29,682",19.5,0.0,0.0,7.3
"Franklin, Iowa","10,070",17.9,0.0,0.0,6.1
"Cerro Gordo, Iowa","42,450",17.7,0.0,0.0,5.6
"Marion, Illinois","37,205",21.8,0.0,0.0,8.1
"Fulton, Indiana","19,974",21.7,0.0,0.0,8.0
"Hendricks, Indiana","170,311",16.5,0.0,0.0,5.9
"Floyd, Iowa","15,642",20.0,0.0,0.0,6.3
"Kossuth, Iowa","14,813",18.5,0.0,0.0,5.9
"Owen, Indiana","20,799",24.4,0.0,0.0,9.3
"Huntington, Indiana","36,520",21.6,0.0,0.0,7.9
"LaSalle, Illinois","108,669",19.2,0.0,0.0,6.8
"Brown, Illinois","6,578",20.8,0.0,0.0,7.3
"Buena Vista, Iowa","19,620",16.8,0.0,0.0,5.6
"Carroll, Illinois","14,305",19.1,0.0,0.0,6.6
"Pike, Indiana","12,389",23.0,0.0,0.0,8.6
"Hamilton, Illinois","8,116",20.3,0.0,0.0,7.2
"Ripley, Indiana","28,324",22.3,0.0,0.0,8.1
"Clinton, Illinois","37,562",18.7,0.0,0.0,6.5
"Scott, Iowa","172,943",18.0,0.0,0.0,5.4
"Bartholomew, Indiana","83,779",19.2,0.0,0.0,6.9
"Whiteside, Illinois","55,175",18.6,0.0,0.0,6.5
"Adams, Iowa","3,602",20.0,0.0,0.0,6.2
"Clay, Iowa","16,016",18.2,0.0,0.0,5.8
"Jersey, Illinois","21,773",19.2,0.0,0.0,6.6
"Delaware, Indiana","114,135",22.5,0.0,0.0,9.0
"Washington, Illinois","13,887",18.3,0.0,0.0,6.4
"Stark, Illinois","5,342",21.0,0.0,0.0,7.5
"Sioux, Iowa","34,855",15.8,0.0,0.0,5.1
"Mercer, Illinois","15,437",19.4,0.0,0.0,6.7
"Christian, Illinois","32,304",20.8,0.0,0.0,7.4
"Iowa, Iowa","16,184",18.0,0.0,0.0,5.6
"Perry, Illinois","20,916",22.1,0.0,0.0,7.9
"Putnam, Indiana","37,576",21.9,0.0,0.0,7.9
"Steuben, Indiana","34,594",22.0,0.0,0.0,7.7
"Dearborn, Indiana","49,458",21.8,0.0,0.0,7.7
"Porter, Indiana","170,389",18.0,0.0,0.0,6.7
"Montgomery, Iowa","9,917",20.5,0.0,0.0,6.6
"Carroll, Iowa","20,165",18.2,0.0,0.0,5.6
"Mason, Illinois","13,359",21.7,0.0,0.0,7.8
"Clarke, Iowa","9,395",18.7,0.0,0.0,6.4
"Monroe, Iowa","7,707",20.0,0.0,0.0,6.2
"Jefferson, Iowa","18,295",17.1,0.0,0.0,5.7
"Edgar, Illinois","17,161",20.0,0.0,0.0,7.0
"Winneshiek, Iowa","19,991",16.3,0.0,0.0,5.1
"Pulaski, Indiana","12,353",23.5,0.0,0.0,8.7
"Benton, Indiana","8,748",22.6,0.0,0.0,8.7
"Woodbury, Iowa","103,107",18.3,0.0,0.0,5.8
"Wapello, Iowa","34,969",19.2,0.0,0.0,6.5
"Franklin, Indiana","22,758",22.3,0.0,0.0,8.0
"Pope, Illinois","4,177",21.8,0.0,0.0,7.9
"Polk, Iowa","490,161",17.4,0.0,0.0,5.3
"Madison, Illinois","262,966",18.8,0.0,0.0,6.4
"Warren, Illinois","16,844",18.7,0.0,0.0,6.8
"St. Joseph, Indiana","271,826",19.8,0.0,0.0,7.4
"Monroe, Illinois","34,637",15.3,0.0,0.0,5.3
"Randolph, Indiana","24,665",23.6,0.0,0.0,8.8
"Will, Illinois","690,743",14.2,0.0,0.0,5.2
"Daviess, Indiana","33,351",24.7,0.0,0.0,9.7
"Grundy, Illinois","51,054",16.9,0.0,0.0,5.8
"Black Hawk, Iowa","131,228",19.4,0.0,0.0,6.0
"Allamakee, Iowa","13,687",18.3,0.0,0.0,6.2
"Crawford, Iowa","16,820",18.9,0.0,0.0,6.2
"Palo Alto, Iowa","8,886",17.2,0.0,0.0,5.4
"Perry, Indiana","19,169",23.1,0.0,0.0,8.1
"Logan, Illinois","28,618",19.2,0.0,0.0,6.7
"Jasper, Indiana","33,562",21.3,0.0,0.0,7.7
"Fulton, Illinois","34,340",20.4,0.0,0.0,7.5
"Keokuk, Iowa","10,246",20.8,0.0,0.0,6.2
"Boone, Illinois","53,544",16.8,0.0,0.0,6.0
"Boone, Iowa","26,234",19.0,0.0,0.0,5.5
"Howard, Indiana","82,544",21.9,0.0,0.0,8.1
"Lee, Iowa","33,657",20.8,0.0,0.0,6.4
"Kendall, Illinois","128,990",13.3,0.0,0.0,4.7
"Webster, Iowa","35,904",20.3,0.0,0.0,6.5
"Peoria, Illinois","179,179",17.7,0.0,0.0,6.5
"De Witt, Illinois","15,638",19.8,0.0,0.0,7.1
"Story, Iowa","97,117",14.5,0.0,0.0,5.2
"Iroquois, Illinois","27,114",20.4,0.0,0.0,7.4
"Hardin, Iowa","16,846",19.3,0.0,0.0,5.8
"Scott, Indiana","23,873",25.8,0.0,0.0,9.6
"Clay, Illinois","13,184",21.9,0.0,0.0,8.0
"Clark, Indiana","118,302",20.8,0.0,0.0,7.8
"Knox, Indiana","36,594",22.7,0.0,0.0,8.7
"Montgomery, Indiana","38,338",22.5,0.0,0.0,8.2
"Hamilton, Iowa","14,773",17.7,0.0,0.0,5.5
"Bremer, Iowa","25,062",16.2,0.0,0.0,5.0
"Sullivan, Indiana","20,669",24.6,0.0,0.0,8.9
"Cass, Illinois","12,147",20.1,0.0,0.0,7.3
"Clinton, Iowa","46,429",20.3,0.0,0.0,6.5
"Monona, Iowa","8,615",20.6,0.0,0.0,6.4
"Buchanan, Iowa","21,175",18.2,0.0,0.0,5.6
"Morgan, Indiana","70,489",21.1,0.0,0.0,7.9
"Warren, Indiana","8,265",20.9,0.0,0.0,7.7
"Livingston, Illinois","35,648",20.9,0.0,0.0,7.5
"Washington, Idaho","10,194",18.3,0.0,0.0,6.8
"Jackson, Indiana","44,231",22.7,0.0,0.0,8.5
"Washington, Iowa","21,965",18.1,0.0,0.0,5.7
"Grundy, Iowa","12,232",16.6,0.0,0.0,5.1
"Jefferson, Illinois","37,684",20.9,0.0,0.0,7.6
"Decatur, Indiana","26,559",21.9,0.0,0.0,7.9
"Richland, Illinois","15,513",20.7,0.0,0.0,7.6
"Johnson, Illinois","12,417",21.1,0.0,0.0,7.5
"Rock Island, Illinois","141,879",18.7,0.0,0.0,6.4
"Adams, Indiana","35,777",24.2,0.0,0.0,9.2
"Macoupin, Illinois","44,926",20.4,0.0,0.0,7.4
"Jones, Iowa","20,681",19.3,0.0,0.0,6.1
"Starke, Indiana","22,995",24.1,0.0,0.0,9.1
"DeKalb, Illinois","104,897",17.1,0.0,0.0,6.2
"Fountain, Indiana","16,346",22.5,0.0,0.0,8.2
"Lyon, Iowa","11,755",18.4,0.0,0.0,5.6
"Tazewell, Illinois","131,803",18.0,0.0,0.0,6.3
"Winnebago, Iowa","10,354",18.2,0.0,0.0,5.7
"Johnson, Iowa","151,140",14.6,0.0,0.0,4.9
"Van Buren, Iowa","7,044",21.3,0.0,0.0,6.7
"Madison, Iowa","16,338",17.6,0.0,0.0,5.2
"Floyd, Indiana","78,522",19.2,0.0,0.0,7.1
"Union, Illinois","16,653",20.9,0.0,0.0,7.8
"Wabash, Illinois","11,520",19.5,0.0,0.0,7.1
"Delaware, Iowa","17,011",19.3,0.0,0.0,5.9
"Noble, Indiana","47,744",21.6,0.0,0.0,8.0
"Cedar, Iowa","18,627",17.1,0.0,0.0,5.2
"Power, Idaho","7,681",16.9,0.0,0.0,6.1
"Schuyler, Illinois","6,768",20.7,0.0,0.0,7.5
"Shelby, Indiana","44,729",22.3,0.0,0.0,8.0
"Marshall, Illinois","11,438",19.4,0.0,0.0,6.8
"Jasper, Illinois","9,610",20.7,0.0,0.0,7.3
"Warrick, Indiana","62,998",18.0,0.0,0.0,6.5
"Bureau, Illinois","32,628",18.3,0.0,0.0,6.6
"Hardin, Illinois","3,821",22.9,0.0,0.0,8.3
"Humboldt, Iowa","9,558",18.9,0.0,0.0,6.1
"Lee, Illinois","34,096",19.2,0.0,0.0,6.8
"Fayette, Indiana","23,102",26.1,0.0,0.0,9.9
"Lake, Illinois","696,535",12.8,0.0,0.0,4.7
"Lucas, Iowa","8,600",20.8,0.0,0.0,6.4
"Cumberland, Illinois","10,766",21.1,0.0,0.0,7.5
"Ida, Iowa","6,860",19.0,0.0,0.0,5.7
"Wayne, Indiana","65,884",24.8,0.0,0.0,8.9
"Lake, Indiana","485,493",20.6,0.0,0.0,7.1
"Cass, Iowa","12,836",21.0,0.0,0.0,6.6
"Sangamon, Illinois","194,672",17.5,0.0,0.0,6.3
"Woodford, Illinois","38,459",16.3,0.0,0.0,5.7
"Newton, Indiana","13,984",22.6,0.0,0.0,8.3
"Des Moines, Iowa","38,967",20.0,0.0,0.0,6.5
"Warren, Iowa","51,466",16.5,0.0,0.0,4.9
"Jackson, Iowa","19,439",19.2,0.0,0.0,6.2
"Coles, Illinois","50,621",20.6,0.0,0.0,7.7
"Union, Iowa","12,241",20.1,0.0,0.0,6.4
"Adams, Illinois","65,435",19.2,0.0,0.0,6.8
"Franklin, Maine","30,199",20.2,0.0,0.0,7.8
"Doniphan, Kansas","7,600",20.1,0.0,0.0,6.8
"Grant, Kansas","7,150",16.5,0.0,0.0,5.6
"St. Martin, Louisiana","53,431",25.1,0.0,0.0,8.4
"Greenup, Kentucky","35,098",23.7,0.0,0.0,9.4
"Russell, Kansas","6,856",18.7,0.0,0.0,6.6
"Wayne, Kentucky","20,333",29.1,0.0,0.0,12.2
"Lyon, Kentucky","8,210",24.4,0.0,0.0,9.1
"Jackson, Kansas","13,171",19.1,0.0,0.0,6.3
"Rawlins, Kansas","2,530",18.0,0.0,0.0,6.2
"Elk, Kansas","2,530",21.6,0.0,0.0,7.8
"Brown, Kansas","9,564",19.7,0.0,0.0,6.7
